id,sccsn,Domain,TL1
62,62,4, 
62,62,5, 
62,62,6, 
63,63,1, 
63,63,2, 
63,63,3, 
63,63,4, 
63,63,5, 
63,63,6, 
64,64,1,2
64,64,2,2
64,64,3,1.5
64,64,4,2.125
64,64,5,3
64,64,6, 
65,65,1,3.75
65,65,2, 
65,65,3,3.75
65,65,4,3.25
65,65,5,3.25
65,65,6,3.25
66,66,1,3.125
66,66,2,3.625
66,66,3,1.5
66,66,4,2.25
66,66,5, 
66,66,6, 
67,67,1, 
67,67,2, 
67,67,3, 
67,67,4, 
67,67,5, 
67,67,6, 
68,68,1,3
68,68,2,3.25
68,68,3,1.25
68,68,4,3.25
68,68,5,3
68,68,6,4
69,69,1, 
69,69,2, 
69,69,3, 
69,69,4, 
69,69,5, 
69,69,6, 
70,70,1,2.75
70,70,2,1.75
70,70,3,2.75
70,70,4,3.75
70,70,5,1.25
70,70,6, 
71,71,1,2
71,71,2,2
71,71,3,1.75
71,71,4,1.75
71,71,5,3
71,71,6,3.25
72,72,1,2.75
72,72,2, 
72,72,3,3.75
72,72,4,2.25
72,72,5,2
72,72,6,3.75
73,73,1,2.75
73,73,2, 
73,73,3,3
73,73,4, 
73,73,5, 
73,73,6,3.75
74,74,1, 
74,74,2, 
74,74,3, 
74,74,4, 
74,74,5, 
74,74,6, 
75,75,1, 
75,75,2, 
75,75,3, 
75,75,4, 
75,75,5, 
75,75,6, 
76,76,1,2.125
76,76,2,2
76,76,3,1.375
76,76,4,1.125
76,76,5,2.5
76,76,6,3
77,77,1, 
77,77,2, 
77,77,3, 
77,77,4, 
77,77,5, 
77,77,6, 
78,78,1, 
78,78,2, 
78,78,3, 
78,78,4, 
78,78,5, 
78,78,6, 
79,79,1, 
79,79,2, 
79,79,3, 
79,79,4, 
79,79,5, 
79,79,6, 
80,80,1, 
80,80,2, 
80,80,3, 
80,80,4, 
80,80,5, 
80,80,6, 
81,81,1, 
81,81,2, 
81,81,3, 
81,81,4, 
81,81,5, 
81,81,6, 
82,82,1, 
82,82,2, 
82,82,3, 
82,82,4, 
82,82,5, 
82,82,6, 
83,83,1,2
83,83,2,2.25
83,83,3,2
83,83,4,1.75
83,83,5,1.25
83,83,6,3
84,84,1, 
84,84,2, 
84,84,3, 
84,84,4, 
84,84,5, 
84,84,6, 
85,85,1,3.25
85,85,2, 
85,85,3,2.25
85,85,4,3.75
85,85,5,3.75
85,85,6,3.75
86,86,1,2
86,86,2,1.25
86,86,3,1.25
86,86,4,2
86,86,5,1.25
86,86,6, 
87,87,1, 
87,87,2, 
87,87,3, 
87,87,4, 
87,87,5, 
87,87,6, 
88,88,1, 
88,88,2, 
88,88,3, 
88,88,4, 
88,88,5, 
88,88,6, 
89,89,1, 
89,89,2, 
89,89,3, 
89,89,4, 
89,89,5, 
89,89,6, 
90,90,1,2.625
90,90,2,2.25
90,90,3,3.875
90,90,4,3.375
90,90,5,2.875
90,90,6,3.875
91,91,1,4
91,91,2,3.75
91,91,3,3.5
91,91,4,3.875
91,91,5,3.5
91,91,6,4
92,92,1,2.25
92,92,2,1.75
92,92,3,4
92,92,4,1.25
92,92,5,2.25
92,92,6,3
93,93,1,3.25
93,93,2,2
93,93,3,3
93,93,4,2.25
