"sccsn","socname","Family","General_TL5_Final","Soc_TL5_Final","Gender_TL5_Final","Mar_TL5_Final","Sex_TL5_Final","FM_TL5_Final","latitude","longitude","Elevation","v84","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v237","v238","v238.1","v238.2","v699","v761","v773","v774","v787","v789","v835","v861","v1253_rec","v1254_rec","v1255_rec","v1256_rec","v1257_rec","v1258_rec","v1259_rec","v1265","v1267","v1720_poppress","Adult.Mobility","Contact.OtherSocieties","extfreq","intfreq","oth","ovfreq","fam","chrs","PatriDescent","MatriDescent","Predom_MultiplePatterns","Predom_A","Predom_M","Predom_P","P_M","Predom_M_12_0","MatrilinealDes_Copy","Predom_P_12_0","Predom_Bilocal","LocalizedKin","subsistence","agriculture","horticulture","huntergatherer","pastoralism","other","pathogensum","pathogendummy","Zpathogensum","Zpathogendummy","v774_rev","v773_rev","Zv773_rev","Zv774_rev","extfreq_rec","Zextfreq_rec","intfreq_rec","Zintfreq_rec","v1265_dum","Zfam","Zchrs","Zv1265_dum","Zv1267","famine_index","Zoth","Zv1720_poppress","v151_2","v153_2","v155_2","complexity","Res_Hetero","mobility","contact2","v761_rev","Zv761","Zv761_rev","Zv238_rec","polygamy","threat_fam","threat_path","id","Domain","TL1","Law","Socialization","Gender","Marriage","Sexuality","Funerals","ZTL1"
2,"Kung Bushmen","Kxa",2.25,1.75,3,2.25,3,,-20,21,1024.89,1,2,1,1,1,1,1,1,1,2,1,1,3,3,3,,4,3,4,3,1,1,3,0,1,1,0,0,0,0,2,,0,0.904256813,1.816349659,1,1,4,1,,3,0,0,2,0,0,0,3,0,0,0,1,0,"Hunter Gatherer",0,0,1,0,0,2,1,-0.601228722408868,0.463170239634852,1,2,-0.414619578806056,-1.59020198722239,1,-1.06511652158111,1,-0.964053973088056,0,,1.70179587004312,-1.70611327608178,,-0.0021587030193323,1.15628513392886,-0.563830877642601,1,1,1,-1.09653061741214,1,0.904256813,-1.816349659,1,1.39338923104329,-1.39338923104329,-0.557350770119123,1,0.19676518442231,-0.868683429479105,2,5,3,0,0,0,0,1,0,0.116487807191897
2,"Kung Bushmen","Kxa",2.25,1.75,3,2.25,3,,-20,21,1024.89,1,2,1,1,1,1,1,1,1,2,1,1,3,3,3,,4,3,4,3,1,1,3,0,1,1,0,0,0,0,2,,0,0.904256813,1.816349659,1,1,4,1,,3,0,0,2,0,0,0,3,0,0,0,1,0,"Hunter Gatherer",0,0,1,0,0,2,1,-0.601228722408868,0.463170239634852,1,2,-0.414619578806056,-1.59020198722239,1,-1.06511652158111,1,-0.964053973088056,0,,1.70179587004312,-1.70611327608178,,-0.0021587030193323,1.15628513392886,-0.563830877642601,1,1,1,-1.09653061741214,1,0.904256813,-1.816349659,1,1.39338923104329,-1.39338923104329,-0.557350770119123,1,0.19676518442231,-0.868683429479105,2,6,,0,0,0,0,0,1,
3,"Thonga","Atantic-Congo",,,,,,,-12,34,0.76,3,1,4,4,1,4,1,3,5,4,3,3,,,,3,,,,,,3,4,0,0,1,1,0,0,1,4,3,0,,,0,0,,0,3,,1,0,,,,,,,0,,,1,,,,,,,3,1,-0.141028959577389,0.463170239634852,,,,,,,,,1,1.0298531866223,,0.582575265003535,-0.174712111003858,0.479238780207325,,-0.563830877642601,3,2,2,0.0456704828824149,,,,,,,,1,-0.0422960487176377,-0.141028959577389,3,1,,1,0,0,0,0,0,
3,"Thonga","Atantic-Congo",,,,,,,-12,34,0.76,3,1,4,4,1,4,1,3,5,4,3,3,,,,3,,,,,,3,4,0,0,1,1,0,0,1,4,3,0,,,0,0,,0,3,,1,0,,,,,,,0,,,1,,,,,,,3,1,-0.141028959577389,0.463170239634852,,,,,,,,,1,1.0298531866223,,0.582575265003535,-0.174712111003858,0.479238780207325,,-0.563830877642601,3,2,2,0.0456704828824149,,,,,,,,1,-0.0422960487176377,-0.141028959577389,3,2,,0,1,0,0,0,0,
3,"Thonga","Atantic-Congo",,,,,,,-12,34,0.76,3,1,4,4,1,4,1,3,5,4,3,3,,,,3,,,,,,3,4,0,0,1,1,0,0,1,4,3,0,,,0,0,,0,3,,1,0,,,,,,,0,,,1,,,,,,,3,1,-0.141028959577389,0.463170239634852,,,,,,,,,1,1.0298531866223,,0.582575265003535,-0.174712111003858,0.479238780207325,,-0.563830877642601,3,2,2,0.0456704828824149,,,,,,,,1,-0.0422960487176377,-0.141028959577389,3,3,,0,0,1,0,0,0,
3,"Thonga","Atantic-Congo",,,,,,,-12,34,0.76,3,1,4,4,1,4,1,3,5,4,3,3,,,,3,,,,,,3,4,0,0,1,1,0,0,1,4,3,0,,,0,0,,0,3,,1,0,,,,,,,0,,,1,,,,,,,3,1,-0.141028959577389,0.463170239634852,,,,,,,,,1,1.0298531866223,,0.582575265003535,-0.174712111003858,0.479238780207325,,-0.563830877642601,3,2,2,0.0456704828824149,,,,,,,,1,-0.0422960487176377,-0.141028959577389,3,4,,0,0,0,1,0,0,
3,"Thonga","Atantic-Congo",,,,,,,-12,34,0.76,3,1,4,4,1,4,1,3,5,4,3,3,,,,3,,,,,,3,4,0,0,1,1,0,0,1,4,3,0,,,0,0,,0,3,,1,0,,,,,,,0,,,1,,,,,,,3,1,-0.141028959577389,0.463170239634852,,,,,,,,,1,1.0298531866223,,0.582575265003535,-0.174712111003858,0.479238780207325,,-0.563830877642601,3,2,2,0.0456704828824149,,,,,,,,1,-0.0422960487176377,-0.141028959577389,3,5,,0,0,0,0,1,0,
3,"Thonga","Atantic-Congo",,,,,,,-12,34,0.76,3,1,4,4,1,4,1,3,5,4,3,3,,,,3,,,,,,3,4,0,0,1,1,0,0,1,4,3,0,,,0,0,,0,3,,1,0,,,,,,,0,,,1,,,,,,,3,1,-0.141028959577389,0.463170239634852,,,,,,,,,1,1.0298531866223,,0.582575265003535,-0.174712111003858,0.479238780207325,,-0.563830877642601,3,2,2,0.0456704828824149,,,,,,,,1,-0.0422960487176377,-0.141028959577389,3,6,,0,0,0,0,0,1,
4,"Lozi","Atantic-Congo",,,,,,,-16,23.5,1050.433449,1,1,3,5,4,3,1,1,3,5,4,4,2,2,2,,2,3,2,1,1,4,4,0,1,1,1,1,1,1,4,,1,0.904256813,-0.861996448,2.5,3.5,,3.5,,1,0,0,,,,,,,0,,,0,,,,,,,6,1,1.23957032891705,0.463170239634852,3,2,-0.414619578806056,0.00987703097653663,2.5,-0.164688647893145,3.5,0.578432383852833,1,,-0.721473330018279,0.582575265003535,,-0.0694490325073722,,1.75084325162702,4,2,1,0.191640771369361,,0.904256813,0.861996448,3,-0.979511241624492,0.979511241624492,-0.557350770119123,1,0.840697109559826,0.278275927029177,4,1,,1,0,0,0,0,0,
4,"Lozi","Atantic-Congo",,,,,,,-16,23.5,1050.433449,1,1,3,5,4,3,1,1,3,5,4,4,2,2,2,,2,3,2,1,1,4,4,0,1,1,1,1,1,1,4,,1,0.904256813,-0.861996448,2.5,3.5,,3.5,,1,0,0,,,,,,,0,,,0,,,,,,,6,1,1.23957032891705,0.463170239634852,3,2,-0.414619578806056,0.00987703097653663,2.5,-0.164688647893145,3.5,0.578432383852833,1,,-0.721473330018279,0.582575265003535,,-0.0694490325073722,,1.75084325162702,4,2,1,0.191640771369361,,0.904256813,0.861996448,3,-0.979511241624492,0.979511241624492,-0.557350770119123,1,0.840697109559826,0.278275927029177,4,2,,0,1,0,0,0,0,
