sccsn,socname,Family,General_TL5_Final,Soc_TL5_Final,Gender_TL5_Final,Mar_TL5_Final,Sex_TL5_Final,FM_TL5_Final
16,Tiv,Atantic-Congo,,,,,,
17,Ibo,Atantic-Congo,,,,,,
18,Fon,Atantic-Congo,,,,,,
19,Ashanti,Atantic-Congo,,,,,,
20,Mende,Mande,,,,,,
27,Massa (Masa),Afro-Asiatic,,,,,,
28,Azande,Atantic-Congo,,,,,,
31,Shilluk,Nilotic,,,,,,
33,Kaffa (Kafa),Ta-Ne-Omotic,,,,,,
38,Bogo,Afro-Asiatic,,,,,,
39,Kenuzi Nubians,Nubian,,,,,,
41,Tuareg,Afro-Asiatic,,,,,,
44,Hebrews,,,,,,,
45,Babylonians,,,,,,,
48,Gheg Albanians,,,,,,,
49,Romans,,,,,,,
50,Basques,,,,,,,
56,Armenians,,,,,,,
59,Punjabi (West),Indo-European,4,3.25,3.75,4,,4
61,Toda,,,,,,,
63,Uttar Pradesh,,,,,,,
67,Lolo,,,,,,,
69,Garo,,,,,,,
74,Rhade,,,,,,,
75,Khmer,,,,,,,
77,Semang,,,,,,,
78,Nicobarese,,,,,,,
79,Andamanese,,,,,,,
80,Vedda,,,,,,,
81,Tanala,,,,,,,
82,Negri Sembilan,,,,,,,
84,Balinese,,,,,,,
87,Toradja,,,,,,,
88,Tobelorese,,,,,,,
89,Alorese,,,,,,,
95,Kwoma,,,,,,,
97,New Ireland,,,,,,,
101,Pentecost,,,,,,,
103,Ajie,,,,,,,
105,Marquesans,,,,,,,
107,Gilbertese,,,,,,,
111,Palauans,,,,,,,
113,Atayal,,,,,,,
114,Chinese,,,,,,,
115,Manchu,,,,,,,
120,Yukaghir,,,,,,,
122,Ingalik,,,,,,,
123,Aleut,,,,,,,
125,Montagnais,,,,,,,
126,Micmac,,,,,,,
127,Saulteaux,,,,,,,
128,Slave,,,,,,,
129,Kaska,,,,,,,
133,Twana,,,,,,,
134,Yurok,,,,,,,
135,Pomo (Eastern),,,,,,,
136,Yokuts (Lake),,,,,,,
137,Paiute (North.),,,,,,,
139,Kutenai,,,,,,,
140,Gros Ventre,,,,,,,
143,Omaha,,,,,,,
145,Creek,,,,,,,
146,Natchez,,,,,,,
147,Comanche,,,,,,,
148,Chiricahua,,,,,,,
149,Zuni,,,,,,,
152,Huichol,,,,,,,
153,Aztec,,,,,,,
155,Quiche,,,,,,,
157,Bribri,,,,,,,
158,Cuna (Tule),,,,,,,
161,Callinago,,,,,,,
163,Yanomamo,,,,,,,
166,Mundurucu,,,,,,,
167,Cubeo (Tucano),,,,,,,
169,Jivaro,,,,,,,
170,Amahuaca,,,,,,,
171,Inca,,,,,,,
174,Nambicuara,,,,,,,
175,Trumai,,,,,,,
176,Timbira,,,,,,,
177,Tupinamba,,,,,,,
178,Botocudo,,,,,,,
180,Aweikoma,,,,,,,
181,Cayua,,,,,,,
183,Abipon,,,,,,,
