"sccsn","socname","Family","General_TL5_Final","Soc_TL5_Final","Gender_TL5_Final","Mar_TL5_Final","Sex_TL5_Final","FM_TL5_Final","latitude","longitude","Elevation","v84","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v237","v238","v238.1","v238.2","v699","v761","v773","v774","v787","v789","v835","v861","v1253_rec","v1254_rec","v1255_rec","v1256_rec","v1257_rec","v1258_rec","v1259_rec","v1265","v1267","v1720_poppress","Adult.Mobility","Contact.OtherSocieties","extfreq","intfreq","oth","ovfreq","fam","chrs","PatriDescent","MatriDescent","Predom_MultiplePatterns","Predom_A","Predom_M","Predom_P","P_M","Predom_M_12_0","MatrilinealDes_Copy","Predom_P_12_0","Predom_Bilocal","LocalizedKin","subsistence","agriculture","horticulture","huntergatherer","pastoralism","other","pathogensum","pathogendummy","Zpathogensum","Zpathogendummy","v774_rev","v773_rev","Zv773_rev","Zv774_rev","extfreq_rec","Zextfreq_rec","intfreq_rec","Zintfreq_rec","v1265_dum","Zfam","Zchrs","Zv1265_dum","Zv1267","famine_index","Zoth","Zv1720_poppress","v151_2","v153_2","v155_2","complexity","Res_Hetero","mobility","contact2","v761_rev","Zv761","Zv761_rev","Zv238_rec","polygamy","threat_fam","threat_path"
11,"Kikuyu","Atantic-Congo",,,,,,,-0.67,37.17,1467.02288,1,1,5,5,2,4,1,2,5,2,2,1,3,3,3,4,3,3,2,2,3,1,4,0,1,1,1,1,1,1,4,4,0,-0.327403329,0.477176605,2.5,1,,2.5,,,1,0,,,,,,,0,,,1,,,,,,,6,1,1.23957032891705,0.463170239634852,3,2,-0.414619578806056,0.00987703097653663,2.5,-0.164688647893145,1,-0.964053973088056,1,,,0.582575265003535,0.790802186649041,0.686688725826288,,-0.563830877642601,4,2,2,0.01040701747184,,-0.327403329,-0.477176605,2,0.206938994709399,-0.206938994709399,-0.557350770119123,1,0.0614289240918436,0.278275927029177
12,"Ganda","Atantic-Congo",4,3.5,3.875,3.125,3.125,4,0.33,32.5,1154.083676,1,2,5,5,2,4,1,4,5,5,4,4,2,2,2,,1,3,1,1,1,4,4,0,1,1,1,1,1,1,4,3,0,0.904256813,-0.861996448,5,4.5,2,5,3.5,,1,0,1,0,0,0,,0,0,0,0,0,"Intensive Agriculture",1,0,0,0,0,6,1,1.23957032891705,0.463170239634852,4,2,-0.414619578806056,0.809916540076,5,1.33602447492013,4.5,1.19542692662919,1,1.5340521425728,,0.582575265003535,-0.174712111003858,0.647305098857492,-0.563808453733909,-0.563830877642601,4,2,3,0.564154086746875,0,0.904256813,0.861996448,4,-2.16596147795838,2.16596147795838,-0.557350770119123,1,-0.160111410839672,0.544955763395664
13,"Mbuti","Atantic-Congo",1.25,1.75,1,2,1.25,1.75,1.5,28.33,717.1634058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,1,1,3,0,0,1,1,1,1,1,1,1,0,0.904256813,0.477176605,0,0,1,0,1,1,0,0,2,0,0,0,3,0,0,0,1,0,"Hunter Gatherer",0,0,1,0,0,5,1,0.77937056608557,0.463170239634852,1,1,-1.18076445268681,-1.59020198722239,,,,,0,-0.986942637179703,-0.721473330018279,-1.70611327608178,-2.10574070630965,-1.38006748739735,-1.4238552475653,-0.563830877642601,1,1,1,-1.24924267636864,1,0.904256813,-0.477176605,1,1.39338923104329,-1.39338923104329,-0.557350770119123,1,-1.12258453753508,-0.663865291274544
14,"Nkundo Mongo","Atantic-Congo",,,,,,,-0.75,19.17,343.8233317,1,1,5,4,2,4,1,5,2,3,3,3,2,2,2,,,,,,,3,4,1,1,1,1,1,1,1,,,,,,0,3.5,,3.5,,,1,0,,,,,,,0,,,1,,,,,,,7,1,1.69977009174853,0.463170239634852,,,,,,,3.5,0.578432383852833,,,,,,,,,3,2,4,0.0947312758378489,,,,,,,-0.557350770119123,1,,1.69977009174853
15,"Banen","Atantic-Congo",,,,,,,4.67,10.8,672.715888,1,1,5,4,3,4,1,3,3,3,2,1,2,2,2,3,,,,,,1,4,1,1,1,1,1,1,1,2,,,,,0,0,,0,,1,1,0,,,,,,,0,,,1,,,,,,,7,1,1.69977009174853,0.463170239634852,,,,,,,,,0,,-0.721473330018279,-1.70611327608178,,-1.21379330305003,,,3,2,2,-0.0282626674544112,,,,,,,-0.557350770119123,1,-1.21379330305003,1.69977009174853
16,"Tiv","Atantic-Congo",,,,,,,7.25,9,171.1927008,2,1,5,4,4,4,1,1,4,3,2,2,1,1,1,,3,2,2,1,2,2,4,1,1,1,1,1,1,1,4,4,1,0.904256813,-0.861996448,4,5,,5,,,1,0,,,,,,,0,,,1,,,,,,,7,1,1.69977009174853,0.463170239634852,3,3,0.3515252950747,0.00987703097653663,4,0.735739225794818,5,1.50392419801737,1,,,0.582575265003535,0.790802186649041,0.686688725826288,,1.75084325162702,3,2,1,0.0123171245186593,,0.904256813,0.861996448,2,0.206938994709399,-0.206938994709399,-0.557350770119123,1,1.21876598872666,0.687057472599922
17,"Ibo","Atantic-Congo",,,,,,,6,7,69.68,2,1,5,4,5,4,1,4,5,3,2,2,2,2,2,2,,,,,,2,4,1,0,1,1,1,1,1,4,4,,,,1,3.75,,3.75,,1,1,0,,,,,,,0,,,1,,,,,,,6,1,1.23957032891705,0.463170239634852,,,,,1,-1.06511652158111,3.75,0.732681019546922,1,,-0.721473330018279,0.582575265003535,0.790802186649041,0.217301373878099,,,3,2,3,0.338584940494878,,,,,,,-0.557350770119123,1,0.217301373878099,1.23957032891705
18,"Fon","Atantic-Congo",,,,,,,7.2,1.91,136.0613835,1,3,5,4,5,5,1,4,4,5,4,4,1,1,1,,3,4,1,1,1,4,4,1,1,1,1,1,1,1,4,3,0,,-0.861996448,5,1.5,,5,1,1,1,0,,,,,,,0,,,1,,,,,,,7,1,1.69977009174853,0.463170239634852,4,1,-1.18076445268681,0.809916540076,5,1.33602447492013,1.5,-0.655556701699878,1,-0.986942637179703,-0.721473330018279,0.582575265003535,-0.174712111003858,-0.325138203299576,,-0.563830877642601,3,3,3,0.876973895070571,,,0.861996448,2,0.206938994709399,-0.206938994709399,-0.557350770119123,1,-0.444484540471089,0.442974059712572
19,"Ashanti","Atantic-Congo",,,,,,,7,-1.5,250.6974991,1,1,5,4,3,4,1,4,4,5,3,3,2,2,2,4,,,,,,3,4,1,0,1,1,1,1,1,2,,,,,2,1,,2,,,1,1,,,,,,,1,,,0,,,,,,,6,1,1.23957032891705,0.463170239634852,,,,,2,-0.464831272455799,1,-0.964053973088056,0,,,-1.70611327608178,,-1.70611327608178,,,3,2,3,0.368662652753809,,,,,,,-0.557350770119123,1,-1.70611327608178,1.23957032891705
20,"Mende","Mande",,,,,,,8,-11,85.96,1,1,5,4,2,5,1,3,4,3,4,2,2,2,2,,3,1,1,1,1,2,4,1,1,1,1,1,1,1,2,,,0.904256813,-0.861996448,1.5,1.5,,1.5,,,1,0,,,,,,,0,,,1,,,,,,,7,1,1.69977009174853,0.463170239634852,4,4,1.11767016895546,0.809916540076,1.5,-0.764973897018453,1.5,-0.655556701699878,0,,,-1.70611327608178,,-1.70611327608178,,,3,3,2,0.261597147362727,,0.904256813,0.861996448,2,0.206938994709399,-0.206938994709399,-0.557350770119123,1,-1.70611327608178,1.20911893359333
