"sccsn","socname","Family","General_TL5_Final","Soc_TL5_Final","Gender_TL5_Final","Mar_TL5_Final","Sex_TL5_Final","FM_TL5_Final","latitude","longitude","Elevation","v84","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v237","v238","v238.1","v238.2","v699","v761","v773","v774","v787","v789","v835","v861","v1253_rec","v1254_rec","v1255_rec","v1256_rec","v1257_rec","v1258_rec","v1259_rec","v1265","v1267","v1720_poppress","Adult.Mobility","Contact.OtherSocieties","extfreq","intfreq","oth","ovfreq","fam","chrs","PatriDescent","MatriDescent","Predom_MultiplePatterns","Predom_A","Predom_M","Predom_P","P_M","Predom_M_12_0","MatrilinealDes_Copy","Predom_P_12_0","Predom_Bilocal","LocalizedKin","subsistence","agriculture","horticulture","huntergatherer","pastoralism","other","pathogensum","pathogendummy","Zpathogensum","Zpathogendummy","v774_rev","v773_rev","Zv773_rev","Zv774_rev","extfreq_rec","Zextfreq_rec","intfreq_rec","Zintfreq_rec","v1265_dum","Zfam","Zchrs","Zv1265_dum","Zv1267","famine_index","Zoth","Zv1720_poppress","v151_2","v153_2","v155_2","complexity","Res_Hetero","mobility","contact2","v761_rev","Zv761","Zv761_rev","Zv238_rec","polygamy","threat_fam","threat_path"
38,"Bogo","Afro-Asiatic",,,,,,,15.75,38.75,1175.209257,1,1,3,3,4,2,2,3,2,3,4,2,4,4,4,,,,,,,2,2,1,0,1,1,1,1,1,4,3,,,,0,0,,0,,,,,,,,,,,,,,0,,,,,,,6,1,1.23957032891705,0.463170239634852,,,,,,,,,1,,,0.582575265003535,-0.174712111003858,0.203931576999839,,,2,2,2,0.00572517602514169,,,,,,,1.78352246438119,0,0.203931576999839,1.23957032891705
39,"Kenuzi Nubians","Nubian",,,,,,,23,39.11,183.2408359,1,5,5,5,1,3,2,5,4,2,2,1,4,4,4,3,,,,,,4,3,1,0,1,0,1,1,0,4,,,,,4.75,0,,4.75,3.5,,1,0,0,0,0,2,1,0,0,1,0,0,,,,,,,4,1,0.31917080325409,0.463170239634852,,,,,4.75,1.1859531626388,,,1,1.5340521425728,,0.582575265003535,,1.05831370378817,,,4,2,4,0.422543983344796,0,,,,,,1.78352246438119,1,1.05831370378817,0.31917080325409
40,"Teda","Saharan",3,3,2.5,3.125,3.5,3.375,21,17,1087.33,1,2,1,2,1,4,2,3,1,2,3,2,4,4,4,,3,1,1,1,1,2,3,0,0,0,1,1,0,0,4,4,,-0.327403329,-0.861996448,0,0,4,0,3,4,1,0,0,0,0,2,1,0,0,1,0,0,"Pastoralists",0,0,0,1,0,2,1,-0.601228722408868,0.463170239634852,4,4,1.11767016895546,0.809916540076,,,,,1,1.0298531866223,2.91343047007381,0.582575265003535,0.790802186649041,1.32916527708717,1.15628513392886,,2,2,2,-0.55289564533134,0,-0.327403329,0.861996448,2,0.206938994709399,-0.206938994709399,1.78352246438119,1,1.24272520550802,0.442119328874196
41,"Tuareg","Afro-Asiatic",,,,,,,23,6.5,973.4009109,1,4,1,3,1,4,2,2,1,4,4,3,4,4,4,3,,,,,,2,1,0,1,0,1,1,1,1,4,4,0,,,5,5,,5,,,0,1,,,,,,,1,,,1,,,,,,,5,1,0.77937056608557,0.463170239634852,,,,,5,1.33602447492013,5,1.50392419801737,1,,,0.582575265003535,0.790802186649041,0.686688725826288,,-0.563830877642601,2,2,2,-0.112793986154459,,,,,,,1.78352246438119,0,0.0614289240918436,0.77937056608557
42,"Riffians","Afro-Asiatic",3.25,,3.75,3.75,3.5,4,34.92,-3.25,426.3241661,2,5,5,5,4,5,2,5,5,4,2,2,4,4,4,,3,1,1,1,1,2,3,1,0,0,1,0,1,0,3,,1,-0.327403329,-0.861996448,5,5,2,5,2,3,1,0,1,0,0,1,2,0,0,1,0,1,"Pastoralists",0,0,0,1,0,3,1,-0.141028959577389,0.463170239634852,4,4,1.11767016895546,0.809916540076,5,1.33602447492013,5,1.50392419801737,1,0.0214552747212978,1.70179587004312,0.582575265003535,,0.768608803255983,-0.563808453733909,1.75084325162702,4,3,4,1.03112960936958,0,-0.327403329,0.861996448,2,0.206938994709399,-0.206938994709399,1.78352246438119,1,0.651881200383033,0.595519249818022
43,"Egyptians","Afro-Asiatic",4,3.875,4,3.875,4,,24.75,33,205.0317021,5,5,5,5,5,5,2,5,5,5,5,4,4,4,4,4,2,1,,,1,4,2,0,0,1,1,1,1,1,3,,1,-1.559063471,,1,2,4,2,,2,1,0,0,0,0,2,1,0,0,1,0,0,"Intensive Agriculture",1,0,0,0,0,5,1,0.77937056608557,0.463170239634852,,4,1.11767016895546,,1,-1.06511652158111,2,-0.3470594303117,1,,0.490161270012419,0.582575265003535,,0.536368267507977,1.15628513392886,1.75084325162702,4,3,4,1.39229566121037,0,-1.559063471,,3,-0.979511241624492,0.979511241624492,1.78352246438119,0,1.14783221768795,0.948520367520512
44,"Hebrews","",,,,,,,32,35,257.9,3,5,5,5,5,5,2,5,5,4,5,3,4,4,4,,,,,,,3,,1,0,1,1,0,1,1,4,,,,,1.25,2.5,2,2.5,2,1,1,0,,,,,,,0,,,0,,,,,,,5,1,0.77937056608557,0.463170239634852,,,,,1.25,-0.91504520929978,2.5,-0.0385621589235222,1,0.0214552747212978,-0.721473330018279,0.582575265003535,,-0.0391475967644822,-0.563808453733909,,4,3,4,1.30773722064924,,,,,,,1.78352246438119,,-0.301478025249195,0.77937056608557
45,"Babylonians","",,,,,,,32,45,15.8,3,5,5,5,5,5,4,5,5,5,5,4,1,1,1,4,,,,,,4,2,0,0,1,1,0,1,1,4,,,,,5,8,2,5,,,0,0,2,0,0,0,3,0,0,0,1,,,,,,,,4,1,0.31917080325409,0.463170239634852,,,,,5,1.33602447492013,,,1,,,0.582575265003535,,0.582575265003535,-0.563808453733909,,4,3,4,1.56204154707068,1,,,,,,-0.557350770119123,0,0.00938340563481316,0.31917080325409
46,"Rwala Bedouin","Afro-Asiatic",3,,,2,4,1.75,33.25,38.5,751.2404697,3,5,1,1,1,4,2,3,1,3,2,2,4,4,4,,2,1,1,1,1,2,4,1,0,1,1,0,1,0,4,3,0,0.904256813,-0.861996448,3,5,4,5,3,,1,0,0,0,0,2,1,0,0,1,0,0,"Pastoralists",0,0,0,1,0,4,1,0.31917080325409,0.463170239634852,4,4,1.11767016895546,0.809916540076,3,0.13545397666951,5,1.50392419801737,1,1.0298531866223,,0.582575265003535,-0.174712111003858,0.479238780207325,1.15628513392886,-0.563830877642601,1,2,2,-0.398553890847977,0,0.904256813,0.861996448,3,-0.979511241624492,0.979511241624492,1.78352246438119,1,0.357231012164529,0.748919170761849
47,"Turks","Turkic",3,2,3.75,3,3.875,,39.33,34.25,1109.528098,3,5,5,5,4,5,5,5,4,5,5,4,4,4,4,4,,,,,,4,2,0,0,1,0,0,1,1,4,4,1,,,1,1,4,1,3,3,1,0,1,0,0,1,2,0,0,1,0,0,"Intensive Agriculture",1,0,0,0,0,3,1,-0.141028959577389,0.463170239634852,,,,,1,-1.06511652158111,1,-0.964053973088056,1,1.0298531866223,1.70179587004312,0.582575265003535,0.790802186649041,1.0262566270795,1.15628513392886,1.75084325162702,4,3,4,1.51110535669338,0,,,,,,1.78352246438119,0,1.31112833754513,-0.141028959577389
48,"Gheg Albanians","",,,,,,,42,20.17,956.6248228,3,5,3,5,2,4,2,5,4,4,2,3,4,4,4,,3,1,1,1,1,3,4,1,0,1,0,0,1,0,4,4,,-1.559063471,-0.861996448,5,4.5,,5,,2,1,0,,,,,,,0,,,0,,,,,,,3,1,-0.141028959577389,0.463170239634852,4,4,1.11767016895546,0.809916540076,5,1.33602447492013,4.5,1.19542692662919,1,,0.490161270012419,0.582575265003535,0.790802186649041,0.621179573888332,,,4,2,4,0.534654828308121,,-1.559063471,0.861996448,2,0.206938994709399,-0.206938994709399,1.78352246438119,1,0.621179573888332,0.595519249818022
49,"Romans","",,,,,,,42,12,63.02,3,5,5,5,5,5,4,5,5,5,5,5,1,1,1,4,,,,,,4,1,1,0,0,0,0,1,0,4,4,,,,5,1,,5,2,1,0,0,,,,,,,0,,,0,,,,,,,2,1,-0.601228722408868,0.463170239634852,,,,,5,1.33602447492013,1,-0.964053973088056,1,0.0214552747212978,-0.721473330018279,0.582575265003535,0.790802186649041,0.168339849088899,,,4,3,4,1.56204154707068,,,,,,,-0.557350770119123,0,0.168339849088899,-0.601228722408868
50,"Basques","",,,,,,,4,-1,298.59,3,5,5,5,5,5,5,5,3,4,5,4,4,4,4,,,,,,,,1,0,0,1,0,0,1,0,3,,1,,,2,1,,2,,,0,0,,,,,,,0,,,0,,,,,,,2,1,-0.601228722408868,0.463170239634852,,,,,2,-0.464831272455799,1,-0.964053973088056,1,,,0.582575265003535,,0.582575265003535,,1.75084325162702,4,3,4,1.43388664179844,,,,,,,1.78352246438119,0,1.16670925831528,-0.601228722408868
51,"Irish","Indo-European",3.75,4,3.75,3.25,3.75,4,53.5,-10,29.270093,5,5,5,5,4,5,5,5,4,4,5,3,4,4,4,4,3,,,2,1,3,1,0,0,0,0,0,1,0,4,4,1,-0.327403329,0.477176605,1,1,,1,,2,0,0,1,0,0,1,2,0,0,1,0,0,"Pastoralists",0,0,0,1,0,1,1,-1.06142848524035,0.463170239634852,,,,,1,-1.06511652158111,1,-0.964053973088056,1,,0.490161270012419,0.582575265003535,0.790802186649041,0.621179573888332,,1.75084325162702,4,3,4,1.42654691613225,0,-0.327403329,-0.477176605,2,0.206938994709399,-0.206938994709399,1.78352246438119,0,1.18601141275768,-1.06142848524035
52,"Lapps","Uralic",2.25,,1.75,2,2.25,,68.7,21.5,564.0509259,1,2,1,2,1,3,2,1,2,2,2,1,4,4,4,,3,4,4,1,1,1,1,0,0,0,0,0,0,0,3,4,,0.904256813,-0.861996448,1,1,1,1,1,,0,0,1,0,0,1,2,0,0,1,0,0,"Pastoralists",0,0,0,1,0,0,0,-1.52162824807183,-2.14742565648886,1,1,-1.18076445268681,-1.59020198722239,1,-1.06511652158111,1,-0.964053973088056,1,-0.986942637179703,,0.582575265003535,0.790802186649041,0.128811604824291,-1.4238552475653,,2,2,1,-0.652234676776038,0,0.904256813,0.861996448,2,0.206938994709399,-0.206938994709399,1.78352246438119,0,-0.647521821370502,-1.43086489599368
53,"Yurak Samoyed","Uralic",2,,3.25,3.25,,3,41.4,-123.89,32.91,1,2,1,2,1,1,3,3,1,2,2,1,3,3,3,2,,,,,,1,2,0,0,0,0,0,0,0,2,,,,,2.5,2.5,4,2.75,3,2,1,0,0,0,0,2,1,0,0,1,0,0,"Hunter Gatherer",0,0,1,0,0,0,0,-1.52162824807183,-2.14742565648886,,,,,2.5,-0.164688647893145,2.5,-0.0385621589235222,0,1.0298531866223,0.490161270012419,-1.70611327608178,,-0.0620329398156879,1.15628513392886,,2,1,2,-0.696877848953563,0,,,,,,-0.557350770119123,0,0.547126097056588,-1.52162824807183
54,"Russians","Indo-European",3.75,4,4,4,,4,52.67,41.33,160.1009217,5,5,5,5,5,5,5,5,3,5,5,5,4,4,4,,,,,,,4,1,1,0,1,0,0,1,0,4,4,1,,,5,5,4,5,,1,0,0,0,0,0,0,,0,0,0,0,0,"Intensive Agriculture",1,0,0,0,0,3,1,-0.141028959577389,0.463170239634852,,,,,5,1.33602447492013,5,1.50392419801737,1,,-0.721473330018279,0.582575265003535,0.790802186649041,0.217301373878099,1.15628513392886,1.75084325162702,4,3,4,1.51844508235957,0,,,,,,1.78352246438119,0,1.041476586478,-0.141028959577389
55,"Abkhaz","Abkhaz-Adyge",3.125,,1.875,3.375,,3.875,43,41,1101.91,,4,5,3,3,4,4,1,4,3,5,2,4,4,4,4,,,,,,2,3,0,0,1,0,0,1,0,4,,,,,5,5,3,5,,1,1,0,0,0,0,2,1,0,0,1,0,1,"Pastoralists",0,0,0,1,0,2,1,-0.601228722408868,0.463170239634852,,,,,5,1.33602447492013,5,1.50392419801737,1,,-0.721473330018279,0.582575265003535,,-0.0694490325073722,0.296238340097478,,2,2,1,0.53852241346833,0,,,,,,1.78352246438119,1,0.113394653795053,-0.601228722408868
56,"Armenians","",,,,,,,40,44.5,1445.788498,3,5,5,5,4,5,2,3,4,5,5,4,4,4,4,,,,,,,4,1,1,0,1,0,0,1,1,,,,,,8,8,,8,,,0,0,,,,,,,0,,,0,,,,,,,4,1,0.31917080325409,0.463170239634852,,,,,,,,,,,,,,,,,4,3,2,1.06602784523415,,,,,,,1.78352246438119,0,,0.31917080325409
57,"Kurd","Indo-European",3.25,2.25,3.75,3.25,3.75,3.25,32,44,0.81,5,4,5,5,5,5,2,5,5,4,3,3,4,4,4,4,1,1,1,1,1,3,3,1,0,1,0,0,1,1,4,,0,-0.327403329,-0.861996448,2.75,2.5,1,2.75,1,,1,0,0,0,0,2,1,0,0,1,0,0,"Pastoralists",0,0,0,1,0,4,1,0.31917080325409,0.463170239634852,4,4,1.11767016895546,0.809916540076,2.75,-0.0146173356118176,2.5,-0.0385621589235222,1,-0.986942637179703,,0.582575265003535,,-0.202183686088084,-1.4238552475653,-0.563830877642601,4,3,4,1.10289481439197,0,-0.327403329,0.861996448,4,-2.16596147795838,2.16596147795838,1.78352246438119,1,-0.729956603765327,0.748919170761849
58,"Basseri","Indo-European",2.75,,2.375,3.75,3.875,3,29,53,1391.350676,1,4,1,3,2,4,2,1,2,4,2,2,4,4,4,,3,4,,1,1,2,,1,0,1,0,0,1,1,2,,0,0.904256813,-0.861996448,8,8,2,8,1,1,1,0,1,0,0,1,2,0,0,1,0,0,"Pastoralists",0,0,0,1,0,4,1,0.31917080325409,0.463170239634852,,1,-1.18076445268681,,,,,,0,-0.986942637179703,-0.721473330018279,-1.70611327608178,,-1.13817641442659,-0.563808453733909,-0.563830877642601,2,2,1,-0.208902982043284,0,0.904256813,0.861996448,2,0.206938994709399,-0.206938994709399,1.78352246438119,,-0.755271915267699,-0.43079682471636
59,"Punjabi (West)","Indo-European",4,3.25,3.75,4,,4,32.5,74,228.5257573,5,5,5,5,3,5,2,5,5,5,5,5,4,4,4,4,,,,,,4,1,1,0,1,0,0,1,1,3,,1,,,2,3.25,3,3.25,3,2,1,0,0,0,0,2,1,0,0,1,0,1,"Intensive Agriculture",1,0,0,0,0,4,1,0.31917080325409,0.463170239634852,,,,,2,-0.464831272455799,3.25,0.424183748158744,1,1.0298531866223,0.490161270012419,0.582575265003535,,0.700863240546084,0.296238340097478,1.75084325162702,4,3,4,1.24914680223673,0,,,,,,1.78352246438119,0,0.915981610756862,0.31917080325409
60,"Gond","Dravidian",2.875,2.875,3.5,1.5,3.75,3.75,19.63,80.92,423.2159254,1,1,4,4,1,4,1,4,3,3,2,2,3,3,3,,3,4,4,2,1,2,4,1,0,1,0,1,1,1,1,1,,-1.559063471,0.477176605,1,1,1,1,1,1,1,0,0,0,0,2,1,0,0,1,0,1,"Pastoralists",0,0,0,1,0,5,1,0.77937056608557,0.463170239634852,1,1,-1.18076445268681,-1.59020198722239,1,-1.06511652158111,1,-0.964053973088056,0,-0.986942637179703,-0.721473330018279,-1.70611327608178,-2.10574070630965,-1.38006748739735,-1.4238552475653,,3,2,3,-0.140472417916544,0,-1.559063471,-0.477176605,2,0.206938994709399,-0.206938994709399,-0.557350770119123,1,-1.40196136748132,-0.663865291274544
61,"Toda","",,,,,,,11.5,76.5,721.5619261,1,1,3,1,1,1,1,3,4,3,1,2,1,1,1,2,,,,,,2,0,0,0,1,0,1,1,1,2,,,,,1,1,,1,,1,1,1,,,,,,,1,,,1,,,,,,,4,1,0.31917080325409,0.463170239634852,,,,,1,-1.06511652158111,1,-0.964053973088056,0,,-0.721473330018279,-1.70611327608178,,-1.21379330305003,,,1,1,2,-0.663611876804348,,,,,,,-0.557350770119123,,-1.21379330305003,0.31917080325409
62,,,,,,,,,,,,5,2,5,,2,3,1,3,5,4,1,2,2,2,2,,3,4,,2,1,2,2,,,,,,,,,,,-0.327403329,0.477176605,1,1,2,1,,3,1,0,0,0,0,2,1,0,0,1,0,0,,,,,,,0,0,-1.52162824807183,-2.14742565648886,,1,-1.18076445268681,,1,-1.06511652158111,1,-0.964053973088056,,,1.70179587004312,,,1.70179587004312,-0.563808453733909,,,2,2,0.0864641710397158,0,-0.327403329,-0.477176605,2,0.206938994709399,-0.206938994709399,-0.557350770119123,0,0.568993708154604,-1.35119635037932
63,"Uttar Pradesh","",,,,,,,25.92,83,76.37539742,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,4,,,,,,3,3,1,0,1,0,0,1,1,2,,,,,1.5,1.5,2,1.5,,,1,0,0,0,0,2,1,0,0,1,0,0,,,,,,,4,1,0.31917080325409,0.463170239634852,,,,,1.5,-0.764973897018453,1.5,-0.655556701699878,0,,,-1.70611327608178,,-1.70611327608178,-0.563808453733909,,4,3,4,1.64691449000083,0,,,,,,-0.557350770119123,1,-1.13496086490784,0.31917080325409
64,"Burusho","Burushaki",2,2,1.5,2.125,3,,36.43,74.58,4151.733346,1,4,5,5,2,4,2,1,2,3,5,2,4,4,4,,1,4,1,2,1,2,,1,0,1,0,0,0,1,2,,,-1.559063471,0.477176605,1,1,1,1,,2,1,0,0,0,0,2,1,0,0,1,0,0,"Intensive Agriculture",1,0,0,0,0,3,1,-0.141028959577389,0.463170239634852,4,1,-1.18076445268681,0.809916540076,1,-1.06511652158111,1,-0.964053973088056,0,,0.490161270012419,-1.70611327608178,,-0.607976003034681,-1.4238552475653,,4,2,1,0.301398985145801,0,-1.559063471,-0.477176605,4,-2.16596147795838,2.16596147795838,1.78352246438119,,-1.01591562529999,-0.170625624062733
65,"Kazak","Turkic",3.75,,3.75,3.25,3.25,3.25,48,70,424.96,1,4,2,1,4,4,2,3,2,4,4,4,4,4,4,5,2,2,1,1,1,4,3,1,0,0,0,0,0,1,4,4,,-1.559063471,-0.861996448,3,4,3,4,3,1.5,1,0,0,0,0,2,1,0,0,1,0,1,"Pastoralists",0,0,0,1,0,2,1,-0.601228722408868,0.463170239634852,4,3,0.3515252950747,0.809916540076,3,0.13545397666951,4,0.886929655241011,1,1.0298531866223,-0.11565603000293,0.582575265003535,0.790802186649041,0.571893652067986,0.296238340097478,,1,2,2,0.0977879442836438,0,-1.559063471,0.861996448,3,-0.979511241624492,0.979511241624492,1.78352246438119,1,0.434065996082732,0.186737704247277
66,"Khalka Mongols","Mongolic",3.125,3.625,1.5,2.25,,,46,97,1769.42,1,5,2,2,1,4,4,3,2,5,4,4,,,,,,,,,,4,1,0,0,0,0,0,0,0,4,,0,,,3.25,3,4,3.5,2,,1,0,1,0,0,1,2,0,0,1,0,0,"Pastoralists",0,0,0,1,0,0,0,-1.52162824807183,-2.14742565648886,,,,,3.25,0.285525288950837,3,0.269935112464656,1,0.0214552747212978,,0.582575265003535,,0.302015269862416,1.15628513392886,-0.563830877642601,2,2,2,0.271855747972927,0,,,,,,,0,0.298156508716227,-1.52162824807183
67,"Lolo","",,,,,,,27.5,103.5,2081.638648,3,5,5,5,2,4,2,4,2,2,4,1,1,1,1,2,,,,,,1,2,0,0,1,0,0,1,1,2,,,,,4.5,4.5,,4.5,,,1,0,,,,,,,0,,,1,,,,,,,3,1,-0.141028959577389,0.463170239634852,,,,,4.5,1.03588185035747,4.5,1.19542692662919,0,,,-1.70611327608178,,-1.70611327608178,,,4,2,3,0.407108451717862,,,,,,,-0.557350770119123,0,-1.70611327608178,-0.141028959577389
68,"Lepcha","Sino-Tibetan",3,3.25,1.25,3.25,3,4,27.5,89,2794.578261,1,4,5,5,2,3,1,3,4,3,2,2,3,3,3,,3,4,4,2,1,2,2,0,0,1,0,1,0,1,4,3,,-1.559063471,0.477176605,1,1,1,1,1,1,1,0,0,0,0,2,1,0,0,1,0,0,"Intensive Agriculture",1,0,0,0,0,3,1,-0.141028959577389,0.463170239634852,1,1,-1.18076445268681,-1.59020198722239,1,-1.06511652158111,1,-0.964053973088056,1,-0.986942637179703,-0.721473330018279,0.582575265003535,-0.174712111003858,-0.325138203299576,-1.4238552475653,,4,2,2,0.235191609398452,0,-1.559063471,-0.477176605,2,0.206938994709399,-0.206938994709399,-0.557350770119123,0,-0.874496725432436,-0.970665133162197
69,"Garo","",,,,,,,26,91,725.34,5,1,5,4,3,4,1,3,4,4,2,2,2,2,2,1,,,,,,2,2,1,0,1,0,1,1,1,4,2,0,,,1,1,,1,,1,0,1,,,,,,,1,,,0,,,,,,,5,1,0.77937056608557,0.463170239634852,,,,,1,-1.06511652158111,1,-0.964053973088056,1,,-0.721473330018279,0.582575265003535,-1.14022640865676,-0.426374824557167,,-0.563830877642601,3,2,2,0.12053047692735,,,,,,,-0.557350770119123,0,-0.495102851099884,0.77937056608557
70,"Lakher","Sino-Tibetan",2.75,1.75,2.75,3.75,1.25,,22.33,93,1060.449908,3,2,5,4,3,4,1,2,3,3,4,2,4,4,4,,2,1,1,2,1,2,2,1,0,1,0,1,1,1,4,4,1,-1.559063471,0.477176605,2,1.75,3,2,3,,1,0,0,0,0,2,1,0,0,1,0,0,"Horticulturalists",0,1,0,0,0,5,1,0.77937056608557,0.463170239634852,4,4,1.11767016895546,0.809916540076,2,-0.464831272455799,1.75,-0.501308066005789,1,1.0298531866223,,0.582575265003535,0.790802186649041,0.801076879424958,0.296238340097478,1.75084325162702,3,2,2,0.176579738802856,0,-1.559063471,-0.477176605,3,-0.979511241624492,0.979511241624492,1.78352246438119,0,0.94938615704982,0.902319091705675
71,"Burmese","Sino-Tibetan",2,2,1.75,1.75,3,3.25,22,95.67,134.2842296,5,5,5,5,4,5,4,5,5,5,5,4,1,1,1,4,,,,,,4,1,1,0,1,0,1,1,1,1,1,0,,,1,5,,5,,1,0,0,1,0,1,0,4,1,0,0,0,0,"Intensive Agriculture",1,0,0,0,0,5,1,0.77937056608557,0.463170239634852,,,,,1,-1.06511652158111,5,1.50392419801737,0,,-0.721473330018279,-1.70611327608178,-2.10574070630965,-1.51110910413657,,-0.563830877642601,4,3,4,1.49046711758386,1,,,,,,-0.557350770119123,0,-1.03746999088959,0.77937056608557
72,"Lamet","Austroasiatic",2.75,,3.75,2.25,2,3.75,20,100.67,697.9168809,1,1,3,4,2,1,1,2,1,2,2,1,1,1,1,,2,4,4,2,1,1,,0,0,1,0,0,0,1,2,,0,-1.559063471,0.477176605,0,0,2,0,3,2,1,0,1,0,0,1,2,0,0,1,0,1,"Other",0,0,0,0,1,2,1,-0.601228722408868,0.463170239634852,1,1,-1.18076445268681,-1.59020198722239,,,,,0,1.0298531866223,0.490161270012419,-1.70611327608178,,-0.0620329398156879,-0.563808453733909,-0.563830877642601,3,1,2,-0.601956163410807,0,-1.559063471,-0.477176605,3,-0.979511241624492,0.979511241624492,-0.557350770119123,,-0.396557423730732,-1.12406505410602
73,"Vietnamese","Austroasiatic",2.75,,3,,,3.75,20.5,106.25,10.19356963,1,5,5,5,4,5,5,3,5,5,5,5,1,1,1,4,2,,,1,1,4,3,0,0,1,0,1,1,1,4,3,,,-0.861996448,5,5,4,5,1,,1,0,0,0,0,2,1,0,0,1,0,1,"Intensive Agriculture",1,0,0,0,0,4,1,0.31917080325409,0.463170239634852,,,,,5,1.33602447492013,5,1.50392419801737,1,-0.986942637179703,,0.582575265003535,-0.174712111003858,-0.193026494393342,1.15628513392886,,4,3,2,1.38488137784525,0,,0.861996448,3,-0.979511241624492,0.979511241624492,-0.557350770119123,1,0.481629319767761,0.31917080325409
74,"Rhade","",,,,,,,13,108,596.7896224,1,1,4,4,4,3,1,3,5,2,2,1,1,1,1,,,,,,,1,,0,0,1,0,1,1,1,4,3,,,,3.25,2.25,,3.25,,,0,1,,,,,,,1,,,1,,,,,,,4,1,0.31917080325409,0.463170239634852,,,,,3.25,0.285525288950837,2.25,-0.192810794617611,1,,,0.582575265003535,-0.174712111003858,0.203931576999839,,,3,2,2,0.0229324962896714,,,,,,,-0.557350770119123,,0.203931576999839,0.31917080325409
75,"Khmer","",,,,,,,13,103.83,41.33211253,3,3,5,5,5,5,4,5,4,5,5,5,2,2,2,4,,,,,,4,2,0,0,1,0,1,1,1,,,,,,3.5,2,,3.5,1,1,0,0,,,,,,,0,,,,,,,,,,4,1,0.31917080325409,0.463170239634852,,,,,3.5,0.435596601232164,2,-0.3470594303117,,-0.986942637179703,-0.721473330018279,,,-0.854207983598991,,,4,3,4,1.3614996064593,,,,,,,-0.557350770119123,0,-0.854207983598991,0.31917080325409
76,"Siamese","Tai-Kadai",2.125,2,1.375,1.125,2.5,3,15,100,7.46,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,,,,,,,4,3,0,0,1,0,1,1,1,1,1,,,,0,0,3,0,1,1,0,0,1,0,1,0,4,1,0,0,0,0,"Intensive Agriculture",1,0,0,0,0,4,1,0.31917080325409,0.463170239634852,,,,,,,,,0,-0.986942637179703,-0.721473330018279,-1.70611327608178,-2.10574070630965,-1.38006748739735,0.296238340097478,,4,3,4,1.64691449000083,1,,,,,,-0.557350770119123,1,-0.541914573649939,0.31917080325409
77,"Semang","",,,,,,,5,101.25,587.146524,1,1,1,2,1,1,1,1,1,2,1,1,3,3,3,1,3,4,4,2,1,1,2,0,0,1,0,1,1,1,4,3,0,0.904256813,0.477176605,1,1,,1,,,0,0,,,,,,,0,,,0,,,,,,,4,1,0.31917080325409,0.463170239634852,1,1,-1.18076445268681,-1.59020198722239,1,-1.06511652158111,1,-0.964053973088056,1,,,0.582575265003535,-0.174712111003858,0.203931576999839,,-0.563830877642601,2,1,1,-1.09835108847458,,0.904256813,-0.477176605,2,0.206938994709399,-0.206938994709399,-0.557350770119123,0,-0.179949650321381,-0.81726521221837
78,"Nicobarese","",,,,,,,9.17,92.77,0.47,2,2,5,4,3,4,1,1,4,2,1,1,,,,,,,,,,1,,0,0,1,0,0,0,0,1,1,0,,,2,1,,2,,1,0,0,,,,,,,0,,,0,,,,,,,1,1,-1.06142848524035,0.463170239634852,,,,,2,-0.464831272455799,1,-0.964053973088056,0,,-0.721473330018279,-1.70611327608178,-2.10574070630965,-1.51110910413657,,-0.563830877642601,3,2,1,-0.144006521064865,,,,,,,,,-1.03746999088959,-1.06142848524035
79,"Andamanese","",,,,,,,13.32,92.89,1.38,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,2,4,2,2,2,1,1,1,0,0,1,0,1,1,0,1,1,,-0.327403329,0.477176605,4,4,,4,,1,0,0,,,,,,,0,,,0,,,,,,,3,1,-0.141028959577389,0.463170239634852,3,3,0.3515252950747,0.00987703097653663,4,0.735739225794818,4,0.886929655241011,0,,-0.721473330018279,-1.70611327608178,-2.10574070630965,-1.51110910413657,,,1,2,1,-0.875648546542571,,-0.327403329,-0.477176605,1,1.39338923104329,-1.39338923104329,-0.557350770119123,0,-1.51110910413657,0.0734577888246158
80,"Vedda","",,,,,,,8.59,81.19,12.68,2,2,2,2,1,2,1,3,1,1,1,1,1,1,1,,,,,,,1,1,0,0,1,0,1,1,1,,,0,,,1,1,,1,,,0,1,,,,,,,1,,,1,,,,,,,4,1,0.31917080325409,0.463170239634852,,,,,1,-1.06511652158111,1,-0.964053973088056,,,,,,,,-0.563830877642601,2,2,2,-0.794725583861643,,,,,,,-0.557350770119123,0,-0.563830877642601,0.31917080325409
81,"Tanala","",,,,,,,-22,48,10.03863281,1,1,3,5,3,4,1,1,2,3,4,2,2,2,2,2,,,,,,2,4,0,0,1,1,1,1,1,,,0,,,1.5,3,,2.75,1,1,1,0,,,,,,,0,,,1,,,,,,,5,1,0.77937056608557,0.463170239634852,,,,,1.5,-0.764973897018453,3,0.269935112464656,,-0.986942637179703,-0.721473330018279,,,-0.854207983598991,,-0.563830877642601,4,2,1,-0.113285243060349,,,,,,,-0.557350770119123,1,-0.709019430620796,0.77937056608557
